,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
46,United Kingdom,London School of Economics and Political Science,511,47,47,50.6,233,41.1,161,96.0,4,66.0,75.4,32,66.4,36,"Mathematics & Statistics,Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Law,Geography,Business & Management,History, Philosophy & Theology,Accounting & Finance",/world-university-rankings/london-school-economics-and-political-science
47,United Kingdom,University of Manchester,512,48,48,75.6,104,37.7,189,80.4,58,65.7,61.1,53,59.0,57,"Accounting & Finance,Education,Archaeology,Electrical & Electronic Engineering,Medicine & Dentistry,Computer Science,Chemistry,Civil Engineering,Sociology,General Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Psychology,Geography,Physics & Astronomy,Mechanical & Aerospace Engineering,Chemical Engineering,Mathematics & Statistics,Architecture,Business & Management,Law,Languages, Literature & Linguistics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Economics & Econometrics",/world-university-rankings/university-manchester
48,United States,Brown University,513,49,49,93.9,34,34.9,226,33.4,282,65.6,53.6,77,59.8,56,"Medicine & Dentistry,Business & Management,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Architecture,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Archaeology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Geography,Chemistry,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Psychology,Other Health,General Engineering,Sociology,Chemical Engineering,Art, Performing Arts & Design,Computer Science,Economics & Econometrics,Education",/world-university-rankings/brown-university
49,China,Peking University,514,49,50,51.0,229,99.9,13,51.7,190,65.6,64.1,50,82.3,16,"Politics & International Studies (incl Development Studies),General Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Architecture,Economics & Econometrics,Business & Management,Psychology,Agriculture & Forestry,History, Philosophy & Theology,Computer Science,Veterinary Science,Art, Performing Arts & Design,Sport Science,Law,Chemical Engineering,Biological Sciences,Education,Physics & Astronomy,Geography,Other Health,Sociology,Communication & Media Studies,Chemistry,Languages, Literature & Linguistics,Medicine & Dentistry,Archaeology,Mechanical & Aerospace Engineering,Mathematics & Statistics",/world-university-rankings/peking-university
50,United States,Pennsylvania State University,515,51,51,83.4,78,61.6,84,29.5,309,64.9,66.7,43,53.5,73,"Archaeology,Mathematics & Statistics,Other Health,Computer Science,Architecture,Agriculture & Forestry,Medicine & Dentistry,Chemistry,Physics & Astronomy,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Biological Sciences,Law,Sociology,Geography,Chemical Engineering,Art, Performing Arts & Design,Accounting & Finance,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Sport Science,Communication & Media Studies,Business & Management,Education,Politics & International Studies (incl Development Studies),Psychology,Veterinary Science,Languages, Literature & Linguistics,Economics & Econometrics,General Engineering",/world-university-rankings/pennsylvania-state-university
51,Japan,Kyoto University,516,52,52,56.3,195,71.7,60,21.1,369,64.8,72.0,39,76.4,21,"Archaeology,General Engineering,Geography,Biological Sciences,Law,Chemistry,Agriculture & Forestry,Mathematics & Statistics,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Civil Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Education,Medicine & Dentistry,Accounting & Finance,Computer Science,History, Philosophy & Theology,Economics & Econometrics,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Sport Science,Communication & Media Studies,Sociology,Other Health,Architecture,Business & Management,Chemical Engineering,Politics & International Studies (incl Development Studies),Psychology",/world-university-rankings/kyoto-university
52,South Korea,Pohang University of Science and Technology,517,53,53,92.3,40,100.0,8,25.0,345,64.6,51.9,82,56.4,63,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Physics & Astronomy,Mechanical & Aerospace Engineering,Chemistry,Electrical & Electronic Engineering,General Engineering,Mathematics & Statistics,Chemical Engineering",/world-university-rankings/pohang-university-science-and-technology
53,United States,Boston University,518,54,54,95.6,28,27.6,325,37.2,262,64.2,46.2,101,60.7,54,"Geography,Business & Management,Languages, Literature & Linguistics,Archaeology,Physics & Astronomy,Other Health,Psychology,Economics & Econometrics,Mathematics & Statistics,Chemistry,History, Philosophy & Theology,Communication & Media Studies,Architecture,Accounting & Finance,Computer Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Law,Politics & International Studies (incl Development Studies),Sociology,Education,Art, Performing Arts & Design,Medicine & Dentistry,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/boston-university
54,United States,University of Southern California,519,55,55,80.2,89,99.3,18,41.1,245,64.0,48.7,92,65.8,39,"Law,Psychology,Medicine & Dentistry,Physics & Astronomy,Education,Other Health,Chemistry,Biological Sciences,General Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Mathematics & Statistics,Computer Science,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Civil Engineering,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Accounting & Finance,Archaeology,Communication & Media Studies,Architecture,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-southern-california
55,United Kingdom,King’s College London,520,56,56,80.9,84,40.8,163,90.0,17,63.2,54.2,74,49.8,88,"Physics & Astronomy,Geography,Sociology,Computer Science,Business & Management,Other Health,Chemistry,Economics & Econometrics,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Law,Accounting & Finance,Biological Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Education,Communication & Media Studies,Medicine & Dentistry",/world-university-rankings/kings-college-london
56,United States,Ohio State University,521,57,57,77.5,98,49.9,110,42.2,237,63.0,56.2,67,61.8,50,"Medicine & Dentistry,Art, Performing Arts & Design,Chemical Engineering,Accounting & Finance,Education,Mathematics & Statistics,Geography,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Sport Science,Other Health,Physics & Astronomy,Psychology,Economics & Econometrics,Business & Management,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Veterinary Science,Electrical & Electronic Engineering,Architecture,Archaeology,Agriculture & Forestry,Chemistry,Biological Sciences,Communication & Media Studies,Computer Science,Law,Civil Engineering,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/ohio-state-university
57,Australia,University of Sydney,522,58,58,57.2,189,92.1,33,88.1,29,62.4,65.7,45,55.4,66,"Psychology,Mathematics & Statistics,Education,Computer Science,Other Health,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Sport Science,Biological Sciences,Chemistry,General Engineering,Medicine & Dentistry,Archaeology,Sociology,Communication & Media Studies,Accounting & Finance,Politics & International Studies (incl Development Studies),Law,Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Geography,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Veterinary Science,Architecture",/world-university-rankings/university-sydney
58,France,École Normale Supérieure,523,59,59,96.4,25,44.7,130,66.2,121,62.0,33.5,181,56.6,61,"Art, Performing Arts & Design,Biological Sciences,Chemical Engineering,Chemistry,Computer Science,Economics & Econometrics,Geography,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,Law,Mathematics & Statistics,Mechanical & Aerospace Engineering,Sociology",/world-university-rankings/ecole-normale-superieure
59,United States,University of Pittsburgh,524,59,60,88.7,57,37.5,194,26.5,330,62.0,53.9,76,54.3,69,"Sport Science,Physics & Astronomy,Medicine & Dentistry,Chemistry,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Other Health,General Engineering,Psychology,Geography,Computer Science,Mathematics & Statistics,Sociology,Politics & International Studies (incl Development Studies),Civil Engineering,Economics & Econometrics,Law,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Education,Communication & Media Studies,Accounting & Finance,Archaeology,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-pittsburgh
60,Switzerland,University of Zurich,525,61,61,78.4,94,43.5,136,87.4,30,61.9,45.9,103,56.7,60,"History, Philosophy & Theology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemistry,Agriculture & Forestry,Mathematics & Statistics,Other Health,Psychology,Computer Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Sociology,Accounting & Finance,Education,Biological Sciences,Geography,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Communication & Media Studies,Archaeology,Law",/world-university-rankings/university-zurich
61,Hong Kong,Hong Kong University of Science and Technology,526,62,62,71.0,126,59.0,91,80.1,59,61.7,58.6,60,51.0,83,"Business & Management,Mechanical & Aerospace Engineering,Chemical Engineering,Chemistry,Economics & Econometrics,Civil Engineering,Computer Science,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Accounting & Finance,Sport Science,General Engineering",/world-university-rankings/hong-kong-university-science-and-technology
62,France,École Polytechnique,527,63,63,89.1,54,63.0,76,86.1,35,61.5,38.8,140,50.4,85,"Mechanical & Aerospace Engineering,Computer Science,Economics & Econometrics,Physics & Astronomy,Mathematics & Statistics,Biological Sciences,Business & Management,Chemistry,Civil Engineering",/world-university-rankings/ecole-polytechnique
63,United States,University of Massachusetts,528,64,64,80.1,90,53.2,102,27.3,320,61.1,58.3,63,54.0,71,"Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Psychology,Physics & Astronomy,Sociology,Education,Languages, Literature & Linguistics,Business & Management,Other Health,Economics & Econometrics,Mathematics & Statistics,Computer Science,Civil Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Art, Performing Arts & Design,Communication & Media Studies,Archaeology,Veterinary Science,Electrical & Electronic Engineering,Architecture,Geography,Biological Sciences,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Law",/world-university-rankings/university-massachusetts
